MilliTime,Phase,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,LAT,LNG,ALT,Distance,Azimuth,Angle,Direction,Fall,cone direction,cone probability
1755325082683,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-267.01502639966526,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325082798,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-267.6707579460445,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325082897,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-266.85889386285163,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325083018,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-267.45218527033586,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325083123,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-267.1711566371085,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325083242,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-267.6707579460445,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325083342,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-267.6707579460445,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325083447,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-267.7019822461597,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325083567,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-267.45218527033586,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325083698,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-267.7019822461597,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325083808,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-267.48341021418895,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325083916,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-267.63953355398365,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325084035,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-267.76443057048414,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325084163,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-268.0142201894428,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325084259,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-267.76443057048414,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325084363,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-267.57708449395597,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325084457,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-267.6707579460445,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325084558,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-267.9205497720145,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325084663,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-267.82687852697666,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325084762,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-268.13911279197976,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325084866,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-267.2023824086794,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325085001,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-267.48341021418895,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325085099,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-267.9205497720145,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325085198,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-267.95177333644614,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325085289,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-267.45218527033586,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325085381,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-267.3272845752601,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325085488,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-267.60830906994755,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325085605,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-267.73320645429965,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325085699,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-267.9205497720145,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325085822,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-267.9205497720145,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325085923,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-267.76443057048414,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325086017,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-267.60830906994755,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325086134,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-268.17033571272276,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325086270,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-268.23278127837165,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325086378,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-268.0454434780079,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325086487,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-268.51378177226394,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325086594,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-267.95177333644614,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
